student_id,age,gender,department,semester,study_hours_per_week,attendance_percentage,assignment_average,midterm_score,previous_gpa,internet_access,extra_academic_support,part_time_job,extracurricular_hours_per_week,absences,final_score,at_risk,risk_label,data_origin
STU1001,17,Female,Engineering,2,19.3,91.2,77.5,66.7,2.96,Yes,No,No,6.5,5,85.3,0,Not At Risk,Original
STU1002,23,Female,Social Sciences,1,10.2,82.8,64.6,43.2,3.69,Yes,Yes,Yes,0.0,4,71.2,0,Not At Risk,Original
STU1003,22,Female,Business,6,2.0,80.5,60.6,49.6,2.6,Yes,No,No,2.9,3,60.4,0,Not At Risk,Original
STU1004,20,Male,Business,6,5.2,92.4,73.6,50.2,2.43,Yes,Yes,No,0.6,4,70.5,0,Not At Risk,Original
STU1005,20,Female,Social Sciences,7,21.1,83.6,46.6,78.5,2.53,No,No,Yes,3.9,8,69.9,0,Not At Risk,Original
STU1006,23,Female,Business,8,12.0,78.8,79.8,70.7,2.74,Yes,No,No,7.0,7,74.1,0,Not At Risk,Original
STU1007,17,Male,Engineering,4,10.2,95.8,56.7,76.2,2.8,Yes,No,No,0.0,2,79.4,0,Not At Risk,Original
STU1008,22,Female,Business,7,22.2,79.4,75.2,39.4,2.37,Yes,Yes,No,3.4,3,70.5,0,Not At Risk,Original
STU1009,18,Male,Computer Science,6,20.3,74.3,62.7,44.7,1.68,Yes,No,Yes,3.0,2,61.6,1,At Risk,Original
STU1010,17,Male,Engineering,3,14.1,67.9,66.3,76.9,2.52,Yes,No,No,9.2,9,60.9,0,Not At Risk,Original
STU1011,21,Male,Computer Science,7,12.5,86.4,59.4,25.3,3.06,Yes,No,No,5.8,4,71.8,0,Not At Risk,Original
STU1012,24,Female,Computer Science,1,13.3,92.8,67.7,85.4,2.93,Yes,No,No,1.0,5,71.2,0,Not At Risk,Original
STU1013,22,Male,Engineering,5,15.1,77.4,96.5,39.7,3.55,Yes,Yes,Yes,3.1,7,75.4,0,Not At Risk,Original
STU1014,23,Male,Engineering,8,22.0,93.7,89.4,79.7,3.98,Yes,No,Yes,9.2,1,86.2,0,Not At Risk,Original
STU1015,22,Male,Social Sciences,6,16.1,54.4,75.0,53.7,3.29,Yes,No,No,6.6,12,61.4,1,At Risk,Original
STU1016,23,Male,Computer Science,8,17.6,77.3,69.6,82.7,3.65,Yes,Yes,No,1.7,9,76.2,1,At Risk,Original
STU1017,21,Male,Computer Science,1,19.8,77.5,81.8,100.0,3.29,Yes,No,Yes,3.7,6,85.4,0,Not At Risk,Original
STU1018,18,Female,Social Sciences,5,8.2,69.3,85.8,32.9,3.84,Yes,Yes,No,3.8,2,73.8,0,Not At Risk,Original
STU1019,23,Male,Computer Science,7,17.8,100.0,58.4,77.4,3.92,Yes,No,No,2.9,3,80.0,0,Not At Risk,Original
STU1020,20,Female,Computer Science,6,12.5,77.2,68.9,39.9,3.4,Yes,Yes,Yes,0.0,5,67.0,0,Not At Risk,Original
STU1021,21,Female,Computer Science,8,2.0,73.1,44.5,73.4,3.26,Yes,No,Yes,2.5,3,72.4,0,Not At Risk,Original
STU1022,19,Male,Business,4,3.4,78.3,85.7,63.9,2.73,Yes,No,No,8.7,1,64.1,1,At Risk,Original
STU1023,18,Male,Social Sciences,6,8.9,54.0,98.9,68.9,2.83,Yes,Yes,No,3.4,6,66.0,1,At Risk,Original
STU1024,24,Female,Engineering,4,16.7,68.9,71.1,53.3,2.65,Yes,No,No,4.2,6,69.4,0,Not At Risk,Original
STU1025,23,Male,Engineering,7,14.6,89.8,40.2,78.7,3.21,Yes,No,No,4.9,8,70.5,0,Not At Risk,Original
STU1026,22,Male,Computer Science,1,14.9,70.5,78.5,45.3,2.43,Yes,No,Yes,11.2,7,61.5,0,Not At Risk,Original
STU1027,20,Female,Business,3,23.8,68.1,57.3,85.6,2.74,No,No,No,4.5,2,79.0,0,Not At Risk,Original
STU1028,23,Female,Business,1,7.7,93.7,60.7,60.9,1.48,Yes,No,No,7.8,8,52.4,1,At Risk,Original
STU1029,21,Female,Computer Science,6,13.9,94.1,78.8,46.0,3.85,No,No,No,2.7,7,71.0,0,Not At Risk,Original
STU1030,20,Male,Computer Science,2,15.5,84.2,73.6,90.9,2.72,No,No,No,3.7,5,72.6,0,Not At Risk,Original
STU1031,20,Female,Computer Science,3,10.3,72.5,63.2,66.0,3.11,Yes,Yes,No,4.5,3,69.0,0,Not At Risk,Original
STU1032,18,Female,Computer Science,7,14.1,75.1,60.9,95.6,3.7,Yes,Yes,No,2.2,5,89.9,1,At Risk,Original
STU1033,17,Male,Business,3,6.0,68.4,71.8,85.3,3.02,Yes,No,No,3.9,2,64.1,0,Not At Risk,Original
STU1034,21,Female,Engineering,2,21.0,66.1,64.3,55.0,3.69,Yes,No,Yes,7.2,8,62.0,0,Not At Risk,Original
STU1035,24,Male,Computer Science,1,10.6,65.5,54.5,65.7,2.13,Yes,No,No,2.1,3,51.8,1,At Risk,Original
STU1036,17,Male,Business,2,24.2,70.6,65.3,68.8,4.0,Yes,No,No,4.5,7,86.4,0,Not At Risk,Original
STU1037,23,Female,Engineering,8,13.8,65.6,74.8,89.9,3.48,Yes,No,No,6.6,4,76.0,0,Not At Risk,Original
STU1038,23,Male,Engineering,5,19.1,59.2,67.5,73.6,2.97,Yes,No,Yes,2.0,15,60.3,1,At Risk,Original
STU1039,19,Male,Social Sciences,8,13.7,80.6,50.2,69.6,3.68,Yes,No,No,7.8,1,66.6,0,Not At Risk,Original
STU1040,22,Female,Business,2,13.8,80.8,83.8,64.0,2.17,Yes,No,No,4.7,2,69.6,0,Not At Risk,Original
STU1041,18,Female,Social Sciences,3,11.1,98.4,31.7,66.2,2.68,No,Yes,No,4.0,8,66.5,0,Not At Risk,Original
STU1042,23,Female,Computer Science,2,14.6,70.0,63.8,86.6,3.69,Yes,Yes,No,0.0,7,79.7,0,Not At Risk,Original
STU1043,22,Female,Business,4,15.6,81.6,61.3,67.1,1.77,Yes,Yes,Yes,3.4,2,64.9,0,Not At Risk,Original
STU1044,19,Female,Computer Science,5,10.1,81.8,72.1,61.1,3.18,No,Yes,No,5.6,6,60.9,0,Not At Risk,Original
STU1045,17,Male,Business,7,13.4,75.0,77.9,58.5,3.16,Yes,No,No,9.7,13,63.9,0,Not At Risk,Original
STU1046,24,Male,Business,3,10.9,86.9,85.8,58.7,3.99,Yes,Yes,No,6.2,4,83.5,0,Not At Risk,Original
STU1047,20,Male,Computer Science,7,25.5,87.3,60.0,46.0,1.93,Yes,Yes,Yes,7.9,1,61.0,1,At Risk,Original
STU1048,24,Male,Engineering,6,13.6,81.9,78.2,55.7,3.78,Yes,No,Yes,0.9,5,79.3,0,Not At Risk,Original
STU1049,22,Female,Computer Science,3,21.7,74.9,72.7,89.5,2.53,No,No,No,4.1,5,79.7,0,Not At Risk,Original
STU1050,23,Male,Computer Science,8,13.0,73.7,46.0,63.9,2.59,Yes,No,Yes,8.2,2,59.8,0,Not At Risk,Original
STU1051,23,Male,Computer Science,4,15.3,61.6,96.6,77.6,2.14,Yes,No,No,1.8,13,69.7,0,Not At Risk,Original
STU1052,18,Male,Business,2,7.4,68.3,49.9,29.8,2.22,Yes,No,Yes,7.4,10,43.2,1,At Risk,Original
STU1053,19,Male,Computer Science,8,11.8,70.5,75.9,75.5,3.08,Yes,Yes,No,6.7,5,81.1,0,Not At Risk,Original
STU1054,20,Female,Business,8,15.1,64.5,75.5,64.6,2.2,Yes,No,No,5.3,9,73.1,0,Not At Risk,Original
STU1055,20,Male,Computer Science,1,21.9,83.3,73.9,59.8,3.28,Yes,Yes,No,3.5,4,72.5,0,Not At Risk,Original
STU1056,17,Male,Engineering,8,15.1,92.4,63.1,69.7,2.47,Yes,No,Yes,1.5,4,75.0,0,Not At Risk,Original
STU1057,21,Male,Social Sciences,8,20.9,67.1,81.6,59.6,2.15,Yes,No,Yes,9.8,7,71.9,0,Not At Risk,Original
STU1058,18,Male,Business,7,17.2,81.4,48.2,35.1,2.54,Yes,No,Yes,6.4,4,52.0,1,At Risk,Original
STU1059,22,Female,Engineering,3,22.1,65.6,69.1,80.8,3.05,No,No,Yes,5.5,7,67.7,0,Not At Risk,Original
STU1060,22,Male,Social Sciences,6,13.7,74.3,62.1,70.6,2.69,Yes,No,No,3.3,3,65.9,0,Not At Risk,Original
STU1061,24,Male,Social Sciences,5,26.0,69.7,60.5,62.3,2.87,Yes,No,No,4.6,6,68.6,1,At Risk,Original
STU1062,22,Male,Engineering,5,11.6,85.2,76.0,52.5,3.25,Yes,No,Yes,5.0,0,72.3,0,Not At Risk,Original
STU1063,19,Female,Social Sciences,5,10.2,69.9,85.1,45.0,3.48,Yes,No,Yes,5.7,6,66.8,0,Not At Risk,Original
STU1064,24,Female,Social Sciences,6,7.9,90.1,65.2,70.4,2.67,Yes,No,No,6.7,3,75.9,0,Not At Risk,Original
STU1065,20,Female,Engineering,5,25.7,75.1,80.9,91.2,2.24,Yes,Yes,Yes,2.2,5,68.2,0,Not At Risk,Original
STU1066,19,Female,Business,6,18.1,70.2,70.7,70.0,2.89,Yes,No,No,0.1,4,66.7,0,Not At Risk,Original
STU1067,24,Female,Computer Science,5,12.3,63.0,57.5,46.3,3.12,No,Yes,No,4.8,9,61.0,0,Not At Risk,Original
STU1068,19,Male,Computer Science,1,20.2,81.0,66.4,70.4,2.0,No,No,Yes,0.0,6,67.3,0,Not At Risk,Original
STU1069,17,Male,Business,1,17.4,88.7,65.8,66.2,2.33,Yes,Yes,No,3.5,3,66.4,0,Not At Risk,Original
STU1070,20,Female,Business,8,23.8,81.3,60.2,80.0,2.43,Yes,No,Yes,3.0,5,75.4,0,Not At Risk,Original
STU1071,23,Male,Business,8,6.3,100.0,76.0,76.1,2.73,Yes,Yes,No,6.0,6,83.7,0,Not At Risk,Original
STU1072,18,Female,Engineering,5,12.7,95.2,73.3,22.2,2.41,Yes,Yes,No,10.4,7,60.4,0,Not At Risk,Original
STU1073,20,Male,Business,2,11.7,74.3,47.7,75.2,3.26,Yes,No,No,0.0,6,62.4,0,Not At Risk,Original
STU1074,18,Female,Social Sciences,7,4.1,74.2,46.9,51.9,1.92,Yes,Yes,No,11.3,5,57.7,1,At Risk,Original
STU1075,22,Female,Computer Science,2,19.3,83.6,75.9,45.7,1.93,No,No,No,3.8,5,71.4,1,At Risk,Original
STU1076,20,Male,Computer Science,4,12.6,67.9,58.6,64.2,2.66,Yes,No,No,5.5,11,54.1,1,At Risk,Original
STU1077,19,Female,Engineering,3,17.7,92.0,74.2,73.2,2.75,Yes,No,No,0.3,7,75.6,0,Not At Risk,Original
STU1078,18,Female,Social Sciences,1,25.8,82.3,80.9,42.4,2.01,Yes,Yes,No,7.5,4,74.9,0,Not At Risk,Original
STU1079,21,Female,Social Sciences,7,12.2,81.1,52.2,77.6,2.5,Yes,No,No,4.6,10,64.2,0,Not At Risk,Original
STU1080,22,Male,Social Sciences,5,11.9,86.2,50.2,78.5,2.62,Yes,No,No,4.3,6,58.0,0,Not At Risk,Original
STU1081,24,Male,Social Sciences,3,14.6,98.7,93.4,67.7,2.62,Yes,No,Yes,0.0,1,83.6,0,Not At Risk,Original
STU1082,20,Female,Computer Science,5,18.9,80.1,74.9,54.0,2.94,Yes,Yes,Yes,4.7,6,65.5,0,Not At Risk,Original
STU1083,18,Male,Business,1,11.2,76.6,64.1,52.3,2.47,No,No,No,7.0,4,53.2,1,At Risk,Original
STU1084,23,Male,Computer Science,4,10.8,96.1,56.9,82.4,3.71,Yes,No,Yes,3.8,3,70.7,0,Not At Risk,Original
STU1085,22,Female,Engineering,5,19.3,89.6,62.9,44.3,3.13,No,No,No,8.0,6,73.8,0,Not At Risk,Original
STU1086,22,Female,Social Sciences,3,15.9,74.1,53.3,83.0,2.38,Yes,Yes,Yes,7.9,6,62.6,0,Not At Risk,Original
STU1087,17,Male,Business,7,3.8,78.1,82.4,64.5,2.9,Yes,Yes,No,2.6,6,72.0,0,Not At Risk,Original
STU1088,19,Male,Business,2,7.9,80.3,59.1,65.6,2.92,Yes,Yes,No,9.3,2,73.6,0,Not At Risk,Original
STU1089,23,Male,Computer Science,2,21.5,82.3,85.3,41.4,3.55,Yes,No,No,4.6,5,76.9,0,Not At Risk,Original
STU1090,23,Male,Computer Science,5,16.0,61.7,64.4,64.8,2.5,Yes,No,No,4.6,7,64.0,0,Not At Risk,Original
STU1091,20,Female,Computer Science,8,10.2,59.5,55.4,76.2,3.3,Yes,No,Yes,4.8,7,67.1,1,At Risk,Original
STU1092,23,Male,Computer Science,4,13.1,67.4,64.0,47.0,2.87,Yes,No,Yes,4.7,10,58.1,0,Not At Risk,Original
STU1093,23,Male,Social Sciences,1,14.1,66.4,33.3,74.5,3.72,Yes,Yes,No,0.0,5,64.8,0,Not At Risk,Original
STU1094,20,Female,Business,8,17.7,70.3,68.3,68.3,3.6,Yes,No,No,3.9,5,70.4,0,Not At Risk,Original
STU1095,24,Male,Social Sciences,4,7.2,85.6,67.6,57.3,2.96,Yes,No,No,0.4,5,67.1,0,Not At Risk,Original
STU1096,19,Male,Engineering,2,9.8,76.0,81.5,79.8,2.7,Yes,No,No,9.4,1,75.5,0,Not At Risk,Original
STU1097,18,Female,Computer Science,5,15.4,80.4,43.6,34.0,3.14,No,No,No,9.3,5,60.0,0,Not At Risk,Original
STU1098,22,Female,Computer Science,3,13.5,63.3,86.3,72.2,2.75,Yes,Yes,No,7.1,13,73.4,0,Not At Risk,Original
STU1099,22,Female,Social Sciences,8,16.9,72.5,81.5,91.3,3.82,Yes,No,No,3.8,6,86.7,0,Not At Risk,Original
STU1100,18,Female,Computer Science,3,7.9,85.0,87.5,88.6,2.9,Yes,No,No,1.5,5,74.9,0,Not At Risk,Original
STU1101,23,Male,Social Sciences,5,15.8,85.1,69.3,72.8,2.61,Yes,No,Yes,2.5,6,58.4,0,Not At Risk,Original
STU1102,18,Female,Computer Science,5,19.5,69.3,84.2,62.5,2.58,No,No,Yes,10.3,6,62.8,0,Not At Risk,Original
STU1103,23,Female,Engineering,2,16.4,79.9,49.4,57.5,2.15,Yes,No,No,2.4,2,54.9,1,At Risk,Original
STU1104,17,Female,Social Sciences,4,14.7,100.0,80.0,62.5,3.17,Yes,Yes,No,0.0,4,76.9,0,Not At Risk,Original
STU1105,23,Female,Computer Science,1,13.5,77.8,59.2,75.2,2.37,Yes,No,No,7.6,3,69.7,0,Not At Risk,Original
STU1106,23,Female,Computer Science,6,9.8,69.7,46.9,54.9,3.49,No,No,No,9.0,1,64.8,0,Not At Risk,Original
STU1107,23,Female,Social Sciences,7,13.6,75.9,54.3,78.4,2.1,Yes,No,No,9.5,6,74.3,0,Not At Risk,Original
